117.21.176.75 -  -  [25/Aug/2015:01:12:03 +0000] "GET /manager/html HTTP/1.1" 404 1413 
127.0.0.1 -  -  [25/Aug/2015:14:23:32 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:23:43 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:23:53 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 1781 
127.0.0.1 -  -  [25/Aug/2015:14:23:57 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 1785 
127.0.0.1 -  -  [25/Aug/2015:14:24:01 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:24:12 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:24:22 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:24:33 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:24:44 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:24:54 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:25:05 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:25:15 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 1785 
127.0.0.1 -  -  [25/Aug/2015:14:25:24 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:25:35 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:25:45 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:25:56 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:26:06 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:26:17 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:26:27 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:26:38 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:26:48 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:26:59 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:27:09 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:27:20 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:27:30 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:27:41 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:27:51 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:28:02 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:28:12 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:28:23 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:28:33 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:28:44 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:28:54 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:29:05 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:29:15 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 1785 
127.0.0.1 -  -  [25/Aug/2015:14:29:24 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:29:34 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:29:45 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:29:55 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:30:06 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:30:17 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:30:27 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:30:38 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:30:48 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:30:59 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:31:09 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:31:20 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:31:30 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:31:41 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:31:51 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:32:02 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:32:12 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:32:23 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:32:33 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:32:44 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:32:54 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:33:05 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:33:15 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 1785 
127.0.0.1 -  -  [25/Aug/2015:14:33:24 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:33:35 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:33:45 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:33:56 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:34:06 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:34:17 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:34:27 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
