@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute similarity numeric
@attribute clusterNumber numeric
@attribute correctClusterAttributes numeric
@attribute allClusterAttributes numeric
@attribute distribution numeric
@attribute intrusion {true,false}

@data
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:38,0,0,0,0,0,false
2015-12-03T19:01:39,0,0,0,0,0,false
2015-12-03T19:01:39,0,0,0,0,0,false
2015-12-03T19:01:39,0,0,0,0,0,false
2015-12-03T19:01:39,0,0,0,0,0,false
2015-12-03T19:01:39,0,0,0,0,0,false
2015-12-03T19:01:39,0,0,0,0,0,false
2015-12-03T19:01:39,0,0,0,0,0,false
2015-12-03T19:01:39,0,0,0,0,0,false
2015-12-03T19:01:40,0,0,0,0,0,false
2015-12-03T19:01:40,0,0,0,0,0,false
2015-12-03T19:01:40,0,0,0,0,0,false
2015-12-03T19:01:40,0,0,0,0,0,false
2015-12-03T19:01:40,0,0,0,0,0,false
2015-12-03T19:01:40,0,0,0,0,0,false
2015-12-03T19:01:40,0,0,0,0,0,false
2015-12-03T19:01:40,0,0,0,0,0,false
2015-12-03T19:01:41,0,0,0,0,0,false
2015-12-03T19:01:41,0,0,0,0,0,false
2015-12-03T19:01:41,0,0,0,0,0,false
2015-12-03T19:01:41,0,0,0,0,0,false
2015-12-03T19:01:41,0,0,0,0,0,false
2015-12-03T19:01:41,0,0,0,0,0,false
2015-12-03T19:01:41,0,0,0,0,0,false
2015-12-03T19:01:41,0,0,0,0,0,false
2015-12-03T19:01:42,0,0,0,0,0,false
2015-12-03T19:01:42,0,0,0,0,0,false
2015-12-03T19:01:42,0,0,0,0,0,false
2015-12-03T19:01:42,0,0,0,0,0,false
2015-12-03T19:01:42,0,0,0,0,0,false
2015-12-03T19:01:42,0,0,0,0,0,false
2015-12-03T19:01:42,0,0,0,0,0,false
2015-12-03T19:01:42,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:43,0,0,0,0,0,false
2015-12-03T19:01:44,0,0,0,0,0,false
2015-12-03T19:01:44,0,0,0,0,0,false
2015-12-03T19:01:44,0,0,0,0,0,false
2015-12-03T19:01:44,0,0,0,0,0,false
2015-12-03T19:01:44,0,0,0,0,0,false
2015-12-03T19:01:44,0,0,0,0,0,false
2015-12-03T19:01:44,0,0,0,0,0,false
2015-12-03T19:01:44,0,0,0,0,0,false
2015-12-03T19:01:45,0,0,0,0,0,false
2015-12-03T19:01:45,0,0,0,0,0,false
2015-12-03T19:01:45,0,0,0,0,0,false
2015-12-03T19:01:45,0,0,0,0,0,false
2015-12-03T19:01:45,0,0,0,0,0,false
2015-12-03T19:01:45,0,0,0,0,0,false
2015-12-03T19:01:45,0,0,0,0,0,false
2015-12-03T19:01:45,0,0,0,0,0,false
2015-12-03T19:01:46,0,0,0,0,0,false
2015-12-03T19:01:46,0,0,0,0,0,false
2015-12-03T19:01:46,0,0,0,0,0,false
2015-12-03T19:01:46,0,0,0,0,0,false
2015-12-03T19:01:46,0,0,0,0,0,false
2015-12-03T19:01:46,0,0,0,0,0,false
2015-12-03T19:01:46,0,0,0,0,0,false
2015-12-03T19:01:46,0,0,0,0,0,false
2015-12-03T19:01:47,0,0,0,0,0,false
2015-12-03T19:01:47,0,0,0,0,0,false
2015-12-03T19:01:47,0,0,0,0,0,false
2015-12-03T19:01:47,0,0,0,0,0,false
2015-12-03T19:01:47,0,0,0,0,0,false
2015-12-03T19:01:47,0,0,0,0,0,false
2015-12-03T19:01:47,0,0,0,0,0,false
