@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionOutdoors numeric
@attribute motionIndoorPerMinute numeric
@attribute outdoorPerMinute numeric
@attribute normal {true,false}

@data
2015-11-24T17:11:31,0,0,0,0,0,0,true
2015-11-24T17:11:31,0,0,0,0,0,0,true
2015-11-24T17:11:31,0,0,0,0,0,0,true
2015-11-24T17:11:31,0,0,0,0,0,0,true
2015-11-24T17:11:31,0,0,0,0,0,0,true
2015-11-24T17:11:31,0,0,0,0,0,0,true
2015-11-24T17:11:31,0,0,0,0,0,0,true
2015-11-24T17:11:31,0,1,0,0,0,0,true
2015-11-24T17:11:32,0,0,0,0,0,0,true
2015-11-24T17:11:32,0,0,0,0,0,0,true
2015-11-24T17:11:32,0,0,0,0,0,0,true
2015-11-24T17:11:32,0,0,0,0,0,0,true
2015-11-24T17:11:32,0,0,0,0,0,0,true
2015-11-24T17:11:32,0,0,0,0,0,0,true
2015-11-24T17:11:32,0,1,0,0,0,0,true
2015-11-24T17:11:33,0,0,0,0,0,0,true
2015-11-24T17:11:33,0,0,0,0,0,0,true
2015-11-24T17:11:33,0,0,0,0,0,0,true
2015-11-24T17:11:33,0,0,0,0,0,0,true
2015-11-24T17:11:33,0,0,0,0,0,0,true
2015-11-24T17:11:33,0,0,0,0,0,0,true
2015-11-24T17:11:33,0,1,0,0,0,0,true
2015-11-24T17:11:34,0,0,0,0,0,0,true
2015-11-24T17:11:34,0,0,0,0,0,0,true
2015-11-24T17:11:34,0,0,0,0,0,0,true
2015-11-24T17:11:34,0,0,0,0,0,0,true
2015-11-24T17:11:34,0,0,0,0,0,0,true
2015-11-24T17:11:34,0,0,0,0,0,0,true
2015-11-24T17:11:34,0,1,0,0,0,0,true
2015-11-24T17:11:35,0,0,0,0,0,0,true
2015-11-24T17:11:35,0,0,0,0,0,0,true
2015-11-24T17:11:35,0,0,0,0,0,0,true
2015-11-24T17:11:35,0,0,0,0,0,0,true
2015-11-24T17:11:35,0,0,0,0,0,0,true
2015-11-24T17:11:35,0,0,0,0,0,0,true
2015-11-24T17:11:35,0,1,0,0,0,0,true
2015-11-24T17:11:36,0,0,0,0,0,0,true
2015-11-24T17:11:36,0,0,0,0,0,0,true
2015-11-24T17:11:36,0,0,0,0,0,0,true
2015-11-24T17:11:36,0,0,0,0,0,0,true
2015-11-24T17:11:36,0,0,0,0,0,0,true
2015-11-24T17:11:36,0,0,0,0,0,0,true
2015-11-24T17:11:36,0,0,0,0,0,0,true
2015-11-24T17:11:36,0,1,0,0,0,0,true
2015-11-24T17:11:37,0,0,0,0,0,0,true
2015-11-24T17:11:37,0,0,0,0,0,0,true
2015-11-24T17:11:37,0,0,0,0,0,0,true
2015-11-24T17:11:37,0,0,0,0,0,0,true
2015-11-24T17:11:37,0,0,0,0,0,0,true
2015-11-24T17:11:37,0,0,0,0,0,0,true
2015-11-24T17:11:37,0,1,0,0,0,0,true
2015-11-24T17:11:38,0,0,0,0,0,0,true
2015-11-24T17:11:38,0,0,0,0,0,0,true
2015-11-24T17:11:38,0,0,0,0,0,0,true
2015-11-24T17:11:38,0,0,0,0,0,0,true
2015-11-24T17:11:38,0,0,0,0,0,0,true
2015-11-24T17:11:38,0,0,0,0,0,0,true
2015-11-24T17:11:38,0,1,0,0,0,0,true
2015-11-24T17:11:39,0,0,0,0,0,0,true
2015-11-24T17:11:39,0,0,0,0,0,0,true
2015-11-24T17:11:39,0,0,0,0,0,0,true
2015-11-24T17:11:39,0,0,0,0,0,0,true
2015-11-24T17:11:39,0,0,0,0,0,0,true
2015-11-24T17:11:39,0,0,0,0,0,0,true
2015-11-24T17:11:39,0,1,0,0,0,0,true
2015-11-24T17:11:40,0,0,0,0,0,0,true
2015-11-24T17:11:40,0,0,0,0,0,0,true
2015-11-24T17:11:40,0,0,0,0,0,0,true
2015-11-24T17:11:40,0,0,0,0,0,0,true
2015-11-24T17:11:40,0,0,0,0,0,0,true
2015-11-24T17:11:40,0,0,0,0,0,0,true
2015-11-24T17:11:41,0,1,0,0,0,0,true
2015-11-24T17:11:41,0,0,0,0,0,0,true
2015-11-24T17:11:41,0,0,0,0,0,0,true
2015-11-24T17:11:41,0,0,0,0,0,0,true
2015-11-24T17:11:41,0,0,0,0,0,0,true
2015-11-24T17:11:41,0,0,0,0,0,0,true
2015-11-24T17:11:41,0,0,0,0,0,0,true
2015-11-24T17:11:42,0,0,0,0,0,0,true
2015-11-24T17:11:42,0,1,0,0,0,0,true
2015-11-24T17:11:42,0,0,0,0,0,0,true
2015-11-24T17:11:42,0,0,0,0,0,0,true
2015-11-24T17:11:42,0,0,0,0,0,0,true
2015-11-24T17:11:42,0,0,0,0,0,0,true
2015-11-24T17:11:43,0,0,0,0,0,0,true
2015-11-24T17:11:43,0,0,0,0,0,0,true
2015-11-24T17:11:43,0,1,0,0,0,0,true
2015-11-24T17:11:43,0,0,0,0,0,0,true
2015-11-24T17:11:43,0,0,0,0,0,0,true
2015-11-24T17:11:43,0,0,0,0,0,0,true
2015-11-24T17:11:44,0,0,0,0,0,0,true
2015-11-24T17:11:44,0,0,0,0,0,0,true
2015-11-24T17:11:44,0,0,0,0,0,0,true
2015-11-24T17:11:44,0,1,0,0,0,0,true
2015-11-24T17:11:44,0,0,0,0,0,0,true
2015-11-24T17:11:44,0,0,0,0,0,0,true
2015-11-24T17:11:45,0,0,0,0,0,0,true
2015-11-24T17:11:45,0,0,0,0,0,0,true
2015-11-24T17:11:45,0,0,0,0,0,0,true
2015-11-24T17:11:45,0,0,0,0,0,0,true
2015-11-24T17:11:45,0,1,0,0,0,0,true
2015-11-24T17:11:45,0,0,0,0,0,0,true
2015-11-24T17:11:46,0,0,0,0,0,0,true
2015-11-24T17:11:46,0,0,0,0,0,0,true
2015-11-24T17:11:46,0,0,0,0,0,0,true
2015-11-24T17:11:46,0,0,0,0,0,0,true
2015-11-24T17:11:46,0,0,0,0,0,0,true
2015-11-24T17:11:46,0,1,0,0,0,0,true
2015-11-24T17:11:46,0,0,0,0,0,0,true
2015-11-24T17:11:47,0,0,0,0,0,0,true
2015-11-24T17:11:47,0,0,0,0,0,0,true
2015-11-24T17:11:47,0,0,0,0,0,0,true
2015-11-24T17:11:47,0,0,0,0,0,0,true
2015-11-24T17:11:47,0,0,0,0,0,0,true
2015-11-24T17:11:47,0,0,0,0,0,0,true
2015-11-24T17:11:47,0,1,0,0,0,0,true
2015-11-24T17:11:48,0,0,0,0,0,0,true
2015-11-24T17:11:48,0,0,0,0,0,0,true
2015-11-24T17:11:48,0,0,0,0,0,0,true
2015-11-24T17:11:48,0,0,0,0,0,0,true
2015-11-24T17:11:48,0,0,0,0,0,0,true
2015-11-24T17:11:48,0,0,0,0,0,0,true
2015-11-24T17:11:48,0,1,0,0,0,0,true
2015-11-24T17:11:49,0,0,0,0,0,0,true
2015-11-24T17:11:49,0,0,0,0,0,0,true
2015-11-24T17:11:49,0,0,0,0,0,0,true
2015-11-24T17:11:49,0,0,0,0,0,0,true
2015-11-24T17:11:49,0,0,0,0,0,0,true
2015-11-24T17:11:49,0,0,0,0,0,0,true
2015-11-24T17:11:49,0,1,0,0,0,0,true
2015-11-24T17:11:50,0,0,0,0,0,0,true
2015-11-24T17:11:50,0,0,0,0,0,0,true
2015-11-24T17:11:50,0,0,0,0,0,0,true
2015-11-24T17:11:50,0,0,0,0,0,0,true
2015-11-24T17:11:50,0,0,0,0,0,0,true
2015-11-24T17:11:50,0,0,0,0,0,0,true
2015-11-24T17:11:50,0,1,0,0,0,0,true
2015-11-24T17:11:51,0,0,0,0,0,0,true
2015-11-24T17:11:51,0,0,0,0,0,0,true
2015-11-24T17:11:51,0,0,0,0,0,0,true
2015-11-24T17:11:51,0,0,0,0,0,0,true
2015-11-24T17:11:51,0,0,0,0,0,0,true
2015-11-24T17:11:51,0,0,0,0,0,0,true
2015-11-24T17:11:51,0,1,0,0,0,0,true
2015-11-24T17:11:51,0,0,0,0,0,0,true
2015-11-24T17:11:52,0,0,0,0,0,0,true
2015-11-24T17:11:52,0,0,0,0,0,0,true
2015-11-24T17:11:52,0,0,0,0,0,0,true
2015-11-24T17:11:52,0,0,0,0,0,0,true
2015-11-24T17:11:52,0,0,0,0,0,0,true
2015-11-24T17:11:52,0,0,0,0,0,0,true
2015-11-24T17:11:52,0,1,0,0,0,0,true
2015-11-24T17:11:53,0,0,0,0,0,0,true
2015-11-24T17:11:53,0,0,0,0,0,0,true
2015-11-24T17:11:53,0,0,0,0,0,0,true
2015-11-24T17:11:53,0,0,0,0,0,0,true
2015-11-24T17:11:53,0,0,0,0,0,0,true
2015-11-24T17:11:53,0,0,0,0,0,0,true
2015-11-24T17:11:53,0,1,0,0,0,0,true
2015-11-24T17:11:54,0,0,0,0,0,0,true
2015-11-24T17:11:54,0,0,0,0,0,0,true
2015-11-24T17:11:54,0,0,0,0,0,0,true
2015-11-24T17:11:54,0,0,0,0,0,0,true
2015-11-24T17:11:54,0,0,0,0,0,0,true
2015-11-24T17:11:54,0,0,0,0,0,0,true
2015-11-24T17:11:54,0,1,0,0,0,0,true
2015-11-24T17:11:55,0,0,0,0,0,0,true
2015-11-24T17:11:55,0,0,0,0,0,0,true
2015-11-24T17:11:55,0,0,0,0,0,0,true
2015-11-24T17:11:55,0,0,0,0,0,0,true
2015-11-24T17:11:55,0,0,0,0,0,0,true
2015-11-24T17:11:55,0,0,0,0,0,0,true
2015-11-24T17:11:55,0,1,0,0,0,0,true
2015-11-24T17:11:56,0,0,0,0,0,0,true
2015-11-24T17:11:56,0,0,0,0,0,0,true
2015-11-24T17:11:56,0,0,0,0,0,0,true
2015-11-24T17:11:56,0,0,0,0,0,0,true
2015-11-24T17:11:56,0,0,0,0,0,0,true
2015-11-24T17:11:56,0,0,0,0,0,0,true
2015-11-24T17:11:56,0,1,0,0,0,0,true
2015-11-24T17:11:56,0,0,0,0,0,0,true
2015-11-24T17:11:57,0,0,0,0,0,0,true
2015-11-24T17:11:57,0,0,0,0,0,0,true
2015-11-24T17:11:57,0,0,0,0,0,0,true
2015-11-24T17:11:57,0,0,0,0,0,0,true
2015-11-24T17:11:57,0,0,0,0,0,0,true
2015-11-24T17:11:57,0,0,0,0,0,0,true
2015-11-24T17:11:57,0,1,0,0,0,0,true
2015-11-24T17:11:58,0,0,0,0,0,0,true
2015-11-24T17:11:58,0,0,0,0,0,0,true
2015-11-24T17:11:58,0,0,0,0,0,0,true
2015-11-24T17:11:58,0,0,0,0,0,0,true
2015-11-24T17:11:58,0,0,0,0,0,0,true
2015-11-24T17:11:58,0,0,0,0,0,0,true
