@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute knownPresenceDuration numeric
@attribute openEntryPoint {true,false}
@attribute motionIndoors {true,false}
@attribute motionIndoorPerMinute numeric
@attribute motionOutdoors {true,false}
@attribute outdoorPerMinute numeric
@attribute normal {true,false}

@data
2015-11-20T01:08:44,0,0,false,false,0,false,0,true
2015-11-20T01:08:45,0,0,false,false,0,false,0,true
2015-11-20T01:08:45,0,0,false,false,0,false,0,true
2015-11-20T01:08:45,0,0,false,false,0,false,0,true
2015-11-20T01:08:45,0,0,false,false,0,false,0,true
2015-11-20T01:08:45,0,0,false,false,0,false,0,true
2015-11-20T01:08:45,0,0,false,false,0,false,0,true
2015-11-20T01:08:46,0,0,false,false,0,false,0,true
2015-11-20T01:08:46,0,0,false,false,0,false,0,true
2015-11-20T01:08:46,0,0,false,false,0,false,0,true
2015-11-20T01:08:46,0,0,false,false,0,false,0,true
2015-11-20T01:08:46,0,0,false,false,0,false,0,true
2015-11-20T01:08:46,0,0,false,false,0,false,0,true
2015-11-20T01:08:47,0,0,false,false,0,false,0,true
2015-11-20T01:08:47,0,0,false,false,0,false,0,true
2015-11-20T01:08:47,0,0,false,false,0,false,0,true
2015-11-20T01:08:47,0,0,false,false,0,false,0,true
2015-11-20T01:08:47,0,0,false,false,0,false,0,true
2015-11-20T01:08:47,0,0,false,false,0,false,0,true
2015-11-20T01:08:48,0,0,false,false,0,false,0,true
2015-11-20T01:08:48,0,0,false,false,0,false,0,true
2015-11-20T01:08:48,0,0,false,false,0,false,0,true
2015-11-20T01:08:48,0,0,false,false,0,false,0,true
2015-11-20T01:08:48,0,0,false,false,0,false,0,true
2015-11-20T01:08:48,0,0,false,false,0,false,0,true
2015-11-20T01:08:49,0,0,false,false,0,false,0,true
2015-11-20T01:08:49,0,0,false,false,0,false,0,true
2015-11-20T01:08:49,0,0,false,false,0,false,0,true
2015-11-20T01:08:49,0,0,false,false,0,false,0,true
2015-11-20T01:08:49,0,0,false,false,0,false,0,true
2015-11-20T01:08:49,0,0,false,false,0,false,0,true
2015-11-20T01:08:49,0,0,false,false,0,false,0,true
2015-11-20T01:08:50,0,0,false,false,0,false,0,true
2015-11-20T01:08:50,0,0,false,false,0,false,0,true
2015-11-20T01:08:50,0,0,false,false,0,false,0,true
2015-11-20T01:08:50,0,0,false,false,0,false,0,true
2015-11-20T01:08:50,0,0,false,false,0,false,0,true
2015-11-20T01:08:50,0,0,false,false,0,false,0,true
2015-11-20T01:08:51,0,0,false,false,0,false,0,true
2015-11-20T01:08:51,0,0,false,false,0,false,0,true
2015-11-20T01:08:51,0,0,false,false,0,false,0,true
2015-11-20T01:08:51,0,0,false,false,0,false,0,true
2015-11-20T01:08:51,0,0,false,false,0,false,0,true
2015-11-20T01:08:51,0,0,false,false,0,false,0,true
2015-11-20T01:08:52,0,0,false,false,0,false,0,true
2015-11-20T01:08:52,0,0,false,false,0,false,0,true
2015-11-20T01:08:52,0,0,false,false,0,false,0,true
2015-11-20T01:08:52,0,0,false,false,0,false,0,true
2015-11-20T01:08:52,0,0,false,false,0,false,0,true
2015-11-20T01:08:52,0,0,false,false,0,false,0,true
2015-11-20T01:08:53,0,0,false,false,0,false,0,true
2015-11-20T01:08:53,0,0,false,false,0,false,0,true
2015-11-20T01:08:53,0,0,false,false,0,false,0,true
2015-11-20T01:08:53,0,0,false,false,0,false,0,true
2015-11-20T01:08:53,0,0,false,false,0,false,0,true
2015-11-20T01:08:53,0,0,false,false,0,false,0,true
2015-11-20T01:08:54,0,0,false,false,0,false,0,true
2015-11-20T01:08:54,0,0,false,false,0,false,0,true
2015-11-20T01:08:54,0,0,false,false,0,false,0,true
2015-11-20T01:08:54,0,0,false,false,0,false,0,true
2015-11-20T01:08:54,0,0,false,false,0,false,0,true
2015-11-20T01:08:54,0,0,false,false,0,false,0,true
2015-11-20T01:08:54,0,0,false,false,0,false,0,true
2015-11-20T01:08:55,0,0,false,false,0,false,0,true
2015-11-20T01:08:55,0,0,false,false,0,false,0,true
2015-11-20T01:08:55,0,0,false,false,0,false,0,true
2015-11-20T01:08:55,0,0,false,false,0,false,0,true
2015-11-20T01:08:55,0,0,false,false,0,false,0,true
2015-11-20T01:08:55,0,0,false,false,0,false,0,true
2015-11-20T01:08:56,0,0,false,false,0,false,0,true
2015-11-20T01:08:56,0,0,false,false,0,false,0,true
2015-11-20T01:08:56,0,0,false,false,0,false,0,true
2015-11-20T01:08:56,0,0,false,false,0,false,0,true
2015-11-20T01:08:56,0,0,false,false,0,false,0,true
2015-11-20T01:08:56,0,0,false,false,0,false,0,true
2015-11-20T01:08:57,0,0,false,false,0,false,0,true
2015-11-20T01:08:57,0,0,false,false,0,false,0,true
2015-11-20T01:08:57,0,0,false,false,0,false,0,true
2015-11-20T01:08:57,0,0,false,false,0,false,0,true
2015-11-20T01:08:57,0,0,false,false,0,false,0,true
2015-11-20T01:08:57,0,0,false,false,0,false,0,true
2015-11-20T01:08:58,0,0,false,false,0,false,0,true
2015-11-20T01:08:58,0,0,false,false,0,false,0,true
2015-11-20T01:08:58,0,0,false,false,0,false,0,true
