@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionOutdoors numeric
@attribute normal {true,false}

@data
2015-11-27T16:53:28,0,0,0,0,true
2015-11-27T16:53:28,0,0,0,0,true
2015-11-27T16:53:28,0,0,0,0,true
2015-11-27T16:53:28,0,0,0,0,true
2015-11-27T16:53:28,0,0,0,0,true
2015-11-27T16:53:28,0,0,0,0,true
2015-11-27T16:53:28,0,0,0,0,true
2015-11-27T16:53:28,0,1,0,0,true
2015-11-27T16:53:28,0,0,0,0,true
2015-11-27T16:53:29,0,0,0,0,true
2015-11-27T16:53:29,0,0,0,0,true
2015-11-27T16:53:29,0,0,0,0,true
2015-11-27T16:53:29,0,0,0,0,true
2015-11-27T16:53:29,0,0,0,0,true
2015-11-27T16:53:29,0,0,0,0,true
2015-11-27T16:53:29,0,1,0,0,true
2015-11-27T16:53:29,0,0,0,0,true
2015-11-27T16:53:30,0,0,0,0,true
2015-11-27T16:53:30,0,0,0,0,true
2015-11-27T16:53:30,0,0,0,0,true
2015-11-27T16:53:30,0,0,0,0,true
2015-11-27T16:53:30,0,0,0,0,true
2015-11-27T16:53:30,0,0,0,0,true
2015-11-27T16:53:30,0,1,0,0,true
2015-11-27T16:53:30,0,0,0,0,true
2015-11-27T16:53:31,0,0,0,0,true
2015-11-27T16:53:31,0,0,0,0,true
2015-11-27T16:53:31,0,0,0,0,true
2015-11-27T16:53:31,0,0,0,0,true
2015-11-27T16:53:31,0,0,0,0,true
2015-11-27T16:53:31,0,0,0,0,true
2015-11-27T16:53:31,0,1,0,0,true
2015-11-27T16:53:31,0,0,0,0,true
2015-11-27T16:53:32,0,0,0,0,true
2015-11-27T16:53:32,0,0,0,0,true
2015-11-27T16:53:32,0,0,0,0,true
2015-11-27T16:53:32,0,0,0,0,true
2015-11-27T16:53:32,0,0,0,0,true
2015-11-27T16:53:32,0,0,0,0,true
2015-11-27T16:53:32,0,1,0,0,true
2015-11-27T16:53:32,0,0,0,0,true
2015-11-27T16:53:33,0,0,0,0,true
2015-11-27T16:53:33,0,0,0,0,true
2015-11-27T16:53:33,0,0,0,0,true
2015-11-27T16:53:33,0,0,0,0,true
2015-11-27T16:53:33,0,0,0,0,true
2015-11-27T16:53:33,0,0,0,0,true
2015-11-27T16:53:33,0,0,0,0,true
2015-11-27T16:53:33,0,1,0,0,true
2015-11-27T16:53:33,0,0,0,0,true
2015-11-27T16:53:34,0,0,0,0,true
2015-11-27T16:53:34,0,0,0,0,true
2015-11-27T16:53:34,0,0,0,0,true
2015-11-27T16:53:34,0,0,0,0,true
2015-11-27T16:53:34,0,0,0,0,true
2015-11-27T16:53:34,0,0,0,0,true
2015-11-27T16:53:34,0,1,0,0,true
2015-11-27T16:53:34,0,0,0,0,true
2015-11-27T16:53:35,0,0,0,0,true
2015-11-27T16:53:35,0,0,0,0,true
2015-11-27T16:53:35,0,0,0,0,true
2015-11-27T16:53:35,0,0,0,0,true
2015-11-27T16:53:35,0,0,0,0,true
2015-11-27T16:53:35,0,0,0,0,true
