@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionIndoorPerMinute numeric
@attribute motionOutdoors numeric
@attribute outdoorPerMinute numeric
@attribute normal {true,false}

@data
2015-11-24T12:46:45,0,0,0,0,0,0,true
2015-11-24T12:46:50,0,0,0,0,0,0,true
2015-11-24T12:46:56,0,0,0,0,0,0,true
2015-11-24T12:47:01,0,0,0,0,0,0,true
2015-11-24T12:47:06,0,0,0,0,0,0,true
2015-11-24T12:47:11,0,0,0,0,0,0,true
2015-11-24T12:47:16,0,0,0,0,0,0,true
2015-11-24T12:47:21,0,0,0,0,0,0,true
2015-11-24T12:47:26,0,0,0,0,0,0,true
2015-11-24T12:47:31,0,0,0,0,0,0,true
2015-11-24T12:47:36,0,0,0,0,0,0,true
2015-11-24T12:47:41,0,0,0,0,0,0,true
2015-11-24T12:47:43,0,0,0,0,0,0,true
2015-11-24T12:47:43,0,0,0,0,0,0,true
2015-11-24T12:47:43,0,0,0,0,0,0,true
2015-11-24T12:47:43,0,0,0,0,0,0,true
2015-11-24T12:47:43,0,0,0,0,0,0,true
2015-11-24T12:47:43,0,0,0,0,0,0,true
2015-11-24T12:47:44,0,0,0,0,0,0,true
2015-11-24T12:47:44,1,0,0,0,0,0,true
2015-11-24T12:47:44,1,0,0,0,0,0,true
2015-11-24T12:47:45,1,1,0,0,0,0,true
2015-11-24T12:47:45,1,1,0,0,0,0,true
2015-11-24T12:47:45,1,1,0,0,0,0,true
2015-11-24T12:47:46,1,1,0,0,0,0,true
2015-11-24T12:47:46,1,1,0,0,0,0,true
2015-11-24T12:47:46,1,1,1,1,0,0,true
2015-11-24T12:47:46,1,1,1,1,0,0,true
2015-11-24T12:47:47,1,1,1,1,0,0,true
2015-11-24T12:47:47,1,1,1,1,0,0,true
2015-11-24T12:47:47,1,1,1,1,0,0,true
2015-11-24T12:47:48,1,1,1,1,0,0,true
2015-11-24T12:47:48,1,1,1,1,0,0,true
2015-11-24T12:47:48,1,1,1,1,0,0,true
2015-11-24T12:47:49,1,1,1,1,0,0,true
2015-11-24T12:47:49,1,1,1,1,0,0,true
2015-11-24T12:47:49,1,1,1,1,0,0,true
2015-11-24T12:47:50,1,1,1,1,0,0,true
2015-11-24T12:47:50,1,1,1,1,0,0,true
2015-11-24T12:47:50,1,1,1,1,0,0,true
