@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint {true,false}
@attribute motionIndoors {true,false}
@attribute motionIndoorPerMinute numeric
@attribute motionOutdoors {true,false}
@attribute outdoorPerMinute numeric
@attribute normal {true,false}

@data
2015-11-23T22:54:42,0,false,false,0,false,0,true
2015-11-23T22:54:43,0,false,false,0,false,0,true
2015-11-23T22:54:43,0,false,false,0,false,0,true
2015-11-23T22:54:43,0,false,false,0,false,0,true
2015-11-23T22:54:43,0,false,false,0,false,0,true
2015-11-23T22:54:43,0,false,false,0,false,0,true
2015-11-23T22:54:43,0,false,false,0,false,0,true
2015-11-23T22:54:44,0,false,false,0,false,0,true
2015-11-23T22:54:44,0,false,false,0,false,0,true
2015-11-23T22:54:44,0,false,false,0,false,0,true
2015-11-23T22:54:44,0,false,false,0,false,0,true
2015-11-23T22:54:44,0,false,false,0,false,0,true
2015-11-23T22:54:44,0,false,false,0,false,0,true
2015-11-23T22:54:45,0,false,false,0,false,0,true
2015-11-23T22:54:45,0,false,false,0,false,0,true
2015-11-23T22:54:45,0,false,false,0,false,0,true
2015-11-23T22:54:45,0,false,false,0,false,0,true
2015-11-23T22:54:45,0,false,false,0,false,0,true
2015-11-23T22:54:45,0,false,false,0,false,0,true
2015-11-23T22:54:46,0,false,false,0,false,0,true
2015-11-23T22:54:46,0,false,false,0,false,0,true
2015-11-23T22:54:46,0,false,false,0,false,0,true
2015-11-23T22:54:46,0,false,false,0,false,0,true
2015-11-23T22:54:46,0,false,false,0,false,0,true
2015-11-23T22:54:46,0,false,false,0,false,0,true
2015-11-23T22:54:47,0,false,false,0,false,0,true
2015-11-23T22:54:47,0,false,false,0,false,0,true
2015-11-23T22:54:47,0,false,false,0,false,0,true
2015-11-23T22:54:47,0,false,false,0,false,0,true
2015-11-23T22:54:47,0,false,false,0,false,0,true
2015-11-23T22:54:47,0,false,false,0,false,0,true
2015-11-23T22:54:47,0,false,false,0,false,0,true
2015-11-23T22:54:48,0,false,false,0,false,0,true
2015-11-23T22:54:48,0,false,false,0,false,0,true
2015-11-23T22:54:48,0,false,false,0,false,0,true
2015-11-23T22:54:48,0,false,false,0,false,0,true
2015-11-23T22:54:48,0,false,false,0,false,0,true
2015-11-23T22:54:48,0,false,false,0,false,0,true
2015-11-23T22:54:49,0,false,false,0,false,0,true
2015-11-23T22:54:49,0,false,false,0,false,0,true
2015-11-23T22:54:49,0,false,false,0,false,0,true
2015-11-23T22:54:49,0,false,false,0,false,0,true
2015-11-23T22:54:49,0,false,false,0,false,0,true
2015-11-23T22:54:49,0,false,false,0,false,0,true
2015-11-23T22:54:50,0,false,false,0,false,0,true
2015-11-23T22:54:50,0,false,false,0,false,0,true
2015-11-23T22:54:50,0,false,false,0,false,0,true
2015-11-23T22:54:50,0,false,false,0,false,0,true
2015-11-23T22:54:50,0,false,false,0,false,0,true
2015-11-23T22:54:50,0,false,false,0,false,0,true
2015-11-23T22:54:51,0,false,false,0,false,0,true
2015-11-23T22:54:51,0,false,false,0,false,0,true
2015-11-23T22:54:51,0,false,false,0,false,0,true
2015-11-23T22:54:51,0,false,false,0,false,0,true
2015-11-23T22:54:51,0,false,false,0,false,0,true
2015-11-23T22:54:51,0,false,false,0,false,0,true
2015-11-23T22:54:52,0,false,false,0,false,0,true
2015-11-23T22:54:52,0,false,false,0,false,0,true
2015-11-23T22:54:52,0,false,false,0,false,0,true
2015-11-23T22:54:52,0,false,false,0,false,0,true
2015-11-23T22:54:52,0,false,false,0,false,0,true
2015-11-23T22:54:52,0,false,false,0,false,0,true
2015-11-23T22:54:52,0,false,false,0,false,0,true
2015-11-23T22:54:53,0,false,false,0,false,0,true
2015-11-23T22:54:53,0,false,false,0,false,0,true
2015-11-23T22:54:53,0,false,false,0,false,0,true
2015-11-23T22:54:53,0,false,false,0,false,0,true
