@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionOutdoors numeric
@attribute normal {true,false}

@data
2015-11-26T00:08:48,0,0,0,0,true
2015-11-26T00:08:48,0,0,0,0,true
2015-11-26T00:08:48,0,0,0,0,true
2015-11-26T00:08:48,0,0,0,0,true
2015-11-26T00:08:48,0,0,0,0,true
2015-11-26T00:08:48,0,0,0,0,true
2015-11-26T00:08:48,0,0,0,0,true
2015-11-26T00:08:48,0,1,0,0,true
2015-11-26T00:08:49,0,0,0,0,true
2015-11-26T00:08:49,0,0,0,0,true
2015-11-26T00:08:49,0,0,0,0,true
2015-11-26T00:08:49,0,0,0,0,true
2015-11-26T00:08:49,0,0,0,0,true
2015-11-26T00:08:49,0,0,0,0,true
2015-11-26T00:08:49,0,1,0,0,true
2015-11-26T00:08:50,0,0,0,0,true
2015-11-26T00:08:50,0,0,0,0,true
2015-11-26T00:08:50,0,0,0,0,true
2015-11-26T00:08:50,0,0,0,0,true
2015-11-26T00:08:50,0,0,0,0,true
2015-11-26T00:08:50,0,0,0,0,true
2015-11-26T00:08:51,0,1,0,0,true
2015-11-26T00:08:51,0,0,0,0,true
2015-11-26T00:08:51,0,0,0,0,true
2015-11-26T00:08:51,0,0,0,0,true
2015-11-26T00:08:52,0,0,0,0,true
2015-11-26T00:08:52,0,0,0,0,true
2015-11-26T00:08:52,0,0,0,0,true
2015-11-26T00:08:52,0,1,0,0,true
2015-11-26T00:08:52,0,0,0,0,true
2015-11-26T00:08:53,0,0,0,0,true
2015-11-26T00:08:53,0,0,0,0,true
2015-11-26T00:08:53,0,0,0,0,true
2015-11-26T00:08:53,0,0,0,0,true
2015-11-26T00:08:53,0,0,0,0,true
2015-11-26T00:08:53,0,1,0,0,true
2015-11-26T00:08:53,0,0,0,0,true
2015-11-26T00:08:54,0,0,0,0,true
2015-11-26T00:08:54,0,0,0,0,true
2015-11-26T00:08:54,0,0,0,0,true
2015-11-26T00:08:54,0,0,0,0,true
2015-11-26T00:08:54,0,0,0,0,true
2015-11-26T00:08:54,0,0,0,0,true
2015-11-26T00:08:54,0,1,0,0,true
