@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionIndoorPerMinute numeric
@attribute motionOutdoors numeric
@attribute outdoorPerMinute numeric
@attribute normal {true,false}

@data
2015-11-24T00:00:13,0,0,0,0,0,0,true
2015-11-24T00:00:13,0,0,0,0,0,0,true
2015-11-24T00:00:13,0,0,0,0,0,0,true
2015-11-24T00:00:13,0,0,0,0,0,0,true
2015-11-24T00:00:13,0,0,0,0,0,0,true
2015-11-24T00:00:13,0,0,0,0,0,0,true
2015-11-24T00:00:13,0,0,0,0,0,0,true
2015-11-24T00:00:14,0,0,0,0,0,0,true
2015-11-24T00:00:14,0,0,0,0,0,0,true
2015-11-24T00:00:14,0,0,0,0,0,0,true
2015-11-24T00:00:14,0,0,0,0,0,0,true
2015-11-24T00:00:14,0,0,0,0,0,0,true
2015-11-24T00:00:14,0,0,0,0,0,0,true
2015-11-24T00:00:15,0,0,0,0,0,0,true
2015-11-24T00:00:15,0,0,0,0,0,0,true
2015-11-24T00:00:15,0,0,0,0,0,0,true
2015-11-24T00:00:15,0,0,0,0,0,0,true
2015-11-24T00:00:15,0,0,0,0,0,0,true
2015-11-24T00:00:15,0,0,0,0,0,0,true
2015-11-24T00:00:16,0,0,0,0,0,0,true
2015-11-24T00:00:16,0,0,0,0,0,0,true
2015-11-24T00:00:16,0,0,0,0,0,0,true
2015-11-24T00:00:16,0,0,0,0,0,0,true
2015-11-24T00:00:16,0,0,0,0,0,0,true
2015-11-24T00:00:16,0,0,0,0,0,0,true
2015-11-24T00:00:17,0,0,0,0,0,0,true
2015-11-24T00:00:17,0,0,0,0,0,0,true
2015-11-24T00:00:17,0,0,0,0,0,0,true
2015-11-24T00:00:17,0,0,0,0,0,0,true
2015-11-24T00:00:17,0,0,0,0,0,0,true
2015-11-24T00:00:17,0,0,0,0,0,0,true
2015-11-24T00:00:18,0,0,0,0,0,0,true
2015-11-24T00:00:18,0,0,0,0,0,0,true
2015-11-24T00:00:18,0,0,0,0,0,0,true
2015-11-24T00:00:18,0,0,0,0,0,0,true
2015-11-24T00:00:18,0,0,0,0,0,0,true
2015-11-24T00:00:18,0,0,0,0,0,0,true
2015-11-24T00:00:18,0,0,0,0,0,0,true
2015-11-24T00:00:19,0,0,0,0,0,0,true
2015-11-24T00:00:19,0,0,0,0,0,0,true
2015-11-24T00:00:19,0,0,0,0,0,0,true
2015-11-24T00:00:19,0,0,0,0,0,0,true
2015-11-24T00:00:19,0,0,0,0,0,0,true
2015-11-24T00:00:19,0,0,0,0,0,0,true
2015-11-24T00:00:20,0,0,0,0,0,0,true
2015-11-24T00:00:20,0,0,0,0,0,0,true
2015-11-24T00:00:20,0,0,0,0,0,0,true
2015-11-24T00:00:20,0,0,0,0,0,0,true
2015-11-24T00:00:20,0,0,0,0,0,0,true
2015-11-24T00:00:20,0,0,0,0,0,0,true
2015-11-24T00:00:21,0,0,0,0,0,0,true
