@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute similarity numeric
@attribute clusterNumber numeric
@attribute correctClusterAttributes numeric
@attribute allClusterAttributes numeric
@attribute distribution numeric
@attribute intrusion {true,false}

@data
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:37,0,0,0,0,0,false
2015-12-01T17:25:38,0,0,0,0,0,false
2015-12-01T17:25:38,0,0,0,0,0,false
2015-12-01T17:25:38,0,0,0,0,0,false
2015-12-01T17:25:38,0,0,0,0,0,false
2015-12-01T17:25:38,0,0,0,0,0,false
2015-12-01T17:25:38,0,0,0,0,0,false
2015-12-01T17:25:38,0,0,0,0,0,false
2015-12-01T17:25:38,0,0,0,0,0,false
2015-12-01T17:25:39,0,0,0,0,0,false
2015-12-01T17:25:39,0,0,0,0,0,false
2015-12-01T17:25:39,0,0,0,0,0,false
2015-12-01T17:25:39,0,0,0,0,0,false
2015-12-01T17:25:39,0,0,0,0,0,false
2015-12-01T17:25:39,0,0,0,0,0,false
2015-12-01T17:25:39,0,0,0,0,0,false
2015-12-01T17:25:39,0,0,0,0,0,false
2015-12-01T17:25:40,0,0,0,0,0,false
2015-12-01T17:25:40,0,0,0,0,0,false
2015-12-01T17:25:40,0,0,0,0,0,false
2015-12-01T17:25:40,0,0,0,0,0,false
2015-12-01T17:25:40,0,0,0,0,0,false
2015-12-01T17:25:40,0,0,0,0,0,false
2015-12-01T17:25:40,0,0,0,0,0,false
2015-12-01T17:25:40,0,0,0,0,0,false
2015-12-01T17:25:41,0,0,0,0,0,false
2015-12-01T17:25:41,0,0,0,0,0,false
2015-12-01T17:25:41,0,0,0,0,0,false
2015-12-01T17:25:41,0,0,0,0,0,false
2015-12-01T17:25:41,0,0,0,0,0,false
2015-12-01T17:25:41,0,0,0,0,0,false
2015-12-01T17:25:41,0,0,0,0,0,false
2015-12-01T17:25:41,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:42,0,0,0,0,0,false
2015-12-01T17:25:43,0,0,0,0,0,false
2015-12-01T17:25:43,0,0,0,0,0,false
2015-12-01T17:25:43,0,0,0,0,0,false
2015-12-01T17:25:43,0,0,0,0,0,false
2015-12-01T17:25:43,0,0,0,0,0,false
2015-12-01T17:25:43,0,0,0,0,0,false
2015-12-01T17:25:43,0,0,0,0,0,false
2015-12-01T17:25:43,0,0,0,0,0,false
2015-12-01T17:25:44,0,0,0,0,0,false
2015-12-01T17:25:44,0,0,0,0,0,false
2015-12-01T17:25:44,0,0,0,0,0,false
2015-12-01T17:25:44,0,0,0,0,0,false
2015-12-01T17:25:44,0,0,0,0,0,false
2015-12-01T17:25:44,0,0,0,0,0,false
2015-12-01T17:25:45,0,0,0,0,0,false
2015-12-01T17:25:45,0,0,0,0,0,false
2015-12-01T17:25:45,0,0,0,0,0,false
2015-12-01T17:25:45,0,0,0,0,0,false
2015-12-01T17:25:45,0,0,0,0,0,false
2015-12-01T17:25:45,0,0,0,0,0,false
2015-12-01T17:25:45,0,0,0,0,0,false
2015-12-01T17:25:46,0,0,0,0,0,false
2015-12-01T17:25:46,0,0,0,0,0,false
2015-12-01T17:25:46,0,0,0,0,0,false
2015-12-01T17:25:46,0,0,0,0,0,false
2015-12-01T17:25:46,0,0,0,0,0,false
2015-12-01T17:25:46,0,0,0,0,0,false
2015-12-01T17:25:47,0,0,0,0,0,false
2015-12-01T17:25:47,0,0,0,0,0,false
2015-12-01T17:25:47,0,0,0,0,0,false
2015-12-01T17:25:47,0,0,0,0,0,false
2015-12-01T17:25:47,0,0,0,0,0,false
2015-12-01T17:25:47,0,0,0,0,0,false
2015-12-01T17:25:47,0,0,0,0,0,false
2015-12-01T17:25:48,0,0,0,0,0,false
2015-12-01T17:25:48,0,0,0,0,0,false
2015-12-01T17:25:48,0,0,0,0,0,false
2015-12-01T17:25:48,0,0,0,0,0,false
2015-12-01T17:25:48,0,0,0,0,0,false
2015-12-01T17:25:48,0,0,0,0,0,false
2015-12-01T17:25:48,0,0,0,0,0,false
2015-12-01T17:25:49,0,0,0,0,0,false
2015-12-01T17:25:49,0,0,0,0,0,false
2015-12-01T17:25:49,0,0,0,0,0,false
2015-12-01T17:25:49,0,0,0,0,0,false
2015-12-01T17:25:49,0,0,0,0,0,false
2015-12-01T17:25:49,0,0,0,0,0,false
2015-12-01T17:25:49,0,0,0,0,0,false
2015-12-01T17:25:49,0,0,0,0,0,false
2015-12-01T17:25:50,0,0,0,0,0,false
2015-12-01T17:25:50,0,0,0,0,0,false
2015-12-01T17:25:50,0,0,0,0,0,false
2015-12-01T17:25:50,0,0,0,0,0,false
2015-12-01T17:25:50,0,0,0,0,0,false
2015-12-01T17:25:50,0,0,0,0,0,false
2015-12-01T17:25:50,0,0,0,0,0,false
2015-12-01T17:25:50,0,0,0,0,0,false
2015-12-01T17:25:51,0,0,0,0,0,false
2015-12-01T17:25:51,0,0,0,0,0,false
2015-12-01T17:25:51,0,0,0,0,0,false
2015-12-01T17:25:51,0,0,0,0,0,false
2015-12-01T17:25:51,0,0,0,0,0,false
2015-12-01T17:25:51,0,0,0,0,0,false
2015-12-01T17:25:51,0,0,0,0,0,false
2015-12-01T17:25:51,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:52,0,0,0,0,0,false
2015-12-01T17:25:53,0,0,0,0,0,false
2015-12-01T17:25:53,0,0,0,0,0,false
2015-12-01T17:25:53,0,0,0,0,0,false
2015-12-01T17:25:53,0,0,0,0,0,false
2015-12-01T17:25:53,0,0,0,0,0,false
2015-12-01T17:25:53,0,0,0,0,0,false
2015-12-01T17:25:53,0,0,0,0,0,false
2015-12-01T17:25:53,0,0,0,0,0,false
2015-12-01T17:25:54,0,0,0,0,0,false
2015-12-01T17:25:54,0,0,0,0,0,false
2015-12-01T17:25:54,0,0,0,0,0,false
2015-12-01T17:25:54,0,0,0,0,0,false
2015-12-01T17:25:54,0,0,0,0,0,false
2015-12-01T17:25:54,0,0,0,0,0,false
